EN,OCS,CS,PL,SK,LSB,USB,BG,MK,SCL,SCC,SL,BE,RU,RUE,UK
I,азъ,já,ja,ja,ja,ja,аз,јас,ja,ја,jaz,я,я,я,я
you,тꙑ,ty,ty,ty,ty,ty,ти,ти,ti,ти,ti,ты,ты,ты,ти
he,онъ,on,on,on,wón,wón,той,тој,on,он,on,ён,он,он,він
we,мꙑ,my,my,my,my,my,ние,ние,mi,ми,mi,мы,мы,мы,ми
you,вꙑ,vy,wy,vy,wy,wy,вие,вие,vi,ви,vi,вы,вы,вы,ви
they,они,oni,oni,oni,wóni,woni,те,тие,oni,они,oni,яны,они,они,вони
this,овъ,tento,ten,tento,to,tón,този,ова,ovaj,овај,ta,гэты,этот,тот,цей
that,тъ,tamten,tamten,ten,to,tamny,онзи,она,taj,тај,tisti,той,тот,тамтот,той
here,сьдє,zde,tutaj,tu,how,jow,тук,овде,ovdje,овдје,tu,тут,тут,ту,тут
there,тоу,tam,tam,tam,tam,tam,там,таму,tamo,тамо,tam,там,там,там,там
who,къто,kdo,kto,kto,chto,štó,кой,кој,ko,ко,kdo,хто,кто,хто,хто
what,чьто,co,co,čo,co,što,какво,што,šta,шта,kaj,што,что,што,що
where,къдє,kde,gdzie,kde,źo,hdźe,къде,каде,gde,где,kje,дзе,где,де,де
when,къгда,kdy,kiedy,kedy,gdy,hdy,кога,кога,kad,кад,kdaj,калі,когда,коли,коли
how,како,jak,jak,ako,kak,kak,как,како,kako,како,kako,як,как,як,як
not,нє,ne,nie,nie,nje,nje,не,не,ne,не,ne,не,не,не,не
all,вьсь,vše,wszystko,všetký,wšyken,wšo,всичко,се,sve,све,vse,увесь,весь,ушытко,увесь
many,мъногъ,mnoho,mnóstwo,mnoho,wjele,wjele,много,многу,mnogo,много,mnogo,шмат,много,много,багато
some,нѣколико,několik,trochę,niekoľko,někotary,někotre,няколко,неколку,nekoliko,неколико,nekoliko,некалькі,несколько,дaкілько,декілька
few,малꙑ,málo,mało,málo,mało,mało,малко,малку,malo,мало,malo,мала,мало,мало,мало
other,инъ,druhý,inny,druhý,drugi,druhi,друг,друг,drugi,други,drugi,іншы,другой,другый,інший
one,ѥдинъ,jeden,jeden,jeden,jaden,jedyn,един,еден,jedan,један,ena,адзін,один,єден,один
two,дъва,dva,dwa,dvaja,dwa,dwaj,две,два,dva,два,dve,два,два,два,два
three,триѥ,tři,trzy,traja,tśi,tři,три,три,tri,три,tri,тры,три,три,три
four,чєтꙑрє,čtyři,cztery,štyria,styri,štyri,четири,четири,četiri,четири,štiri,чатыры,четыре,штири,чотири
five,пѧть,pět,pięć,päť,pěś,pjeć,пет,пет,pet,пет,pet,пяць,пять,пять,пять
big,вєликъ,velký,wielki,veľký,wjeliki,wulki,голям,голем,velik,велик,velik,вялікі,большой,великый,великий
long,дльгъ,dlouhý,długi,dlhý,dłujki,dołhi,дълъг,долг,dug,дуг,dolg,доўгі,длинный,довгый,довгий
wide,широкъ,široký,szeroki,široký,šyroki,šěroki,широк,широк,širok,широк,širok,шырокі,широкий,шырокый,широкий
thick,дєбєлъ,tlustý,tłusty,tlstý,tłusty,tołsty,дебел,дебел,debeo,дебео,debel,тоўсты,толстый,товстый,товстий
heavy,тѧжькъ,těžký,ciężki,ťažký,śěžki,ćežki,тежък,тежок,težak,тежак,težek,цяжкі,тяжёлый,тяжкый,важкий
small,малъ,malý,mały,malý,mały,mały,малък,мал,mȃl,ма̑л,majhen,маленькі,маленький,малый,маленький
short,кратъкъ,krátký,krótki,krátky,krotki,krótki,къс,кус,kratak,кратак,kratek,кароткі,короткий,короткый,короткий
narrow,ѫзъкъ,úzký,wąski,úzky,wuski,wuski,тесен,тесен,uzak,узак,ozek,вузкі,узкий,узкый,вузький
thin,тьнъкъ,tenký,cienki,tenký,śańki,ćeńki,тънък,тенок,tanak,танак,tanek,тонкі,тонкий,тонкый,тонкий
woman,жєна,žena,kobieta,žena,žeńska,žona,жена,жена,žena,жена,ženska,жанчына,женщина,жена,жінка
man,мѫжь,muž,mężczyzna,muž,muski,muž,мъж,маж,muškarac,мушкарац,moški,мужчына,мужчина,муж,мужчина
man,чловѣкъ,člověk,człowiek,človek,luź,čłowjek,човек,човек,čovek,човек,človek,чалавек,человек,чoловiк,людина
child,дѣть,dítě,dziecko,dieťa,źiśe,dźěćo,дете,дете,dete,дете,dete,дзіця,дитя,дїтя,дитя
wife,жєна,žena,żona,manželka,žeńska,mandźelska,съпруга,сопруга,supruga,супруга,soproga,жонка,жена,жена,дружина
husband,мѫжь,muž,mąż,manžel,cłowjek,mandźelski,съпруг,маж,muž,муж,mož,муж,муж,муж,муж
mother,мати,matka,matka,matka,maś,mać,майка,мајка,majka,мајка,mati,маці,мать,мати,мати
father,отьць,otec,ojciec,otec,nan,nan,баща,татко,otac,отац,oče,бацька,отец,отець,батько
animal,звѣрь,zvíře,zwierzę,živočích,zwěrje,zwěrjo,животно,животно,životinja,животиња,žival,жывёла,зверь,звіря,звір
fish,рꙑба,ryba,ryba,ryba,ryba,ryba,риба,риба,riba,риба,riba,рыба,рыба,рыба,риба
bird,пътица,pták,ptak,vták,ptašk,ptačk,птица,птица,ptica,птица,ptica,птушка,птица,птах,птах
dog,пьсъ,pes,pies,pes,pjas,psyk,куче,куче,pas,пас,pes,сабака,собака,пес,собака
louse,въшь,veš,wesz,voš,weš,woš,въшка,вошка,uš,уш,uš,вош,вошь,уша,воша
snake,змиꙗ,had,wąż,had,wuž,had,змия,змија,zmija,змија,kača,зьмяя,змея,гад,гадюка
worm,чрьвь,červ,robak,červ,wužeńc,waka,червей,црв,crv,црв,črv,чарвяк,червь,червяк,червяк
tree,дрѣво,strom,drzewo,strom,bom,štom,дърво,дрво,drvo,дрво,drevo,дрэва,дерево,дерево,дерево
forest,лѣсъ,les,las,les,góla,lěs,гора,шума,šuma,шума,gozd,лес,лес,лïс,ліс
stick,палица,hůl,patyk,palica,kij,kij,палка,стап,prut,прут,palica,кій,палка,паліця,палиця
fruit,овощє,ovoce,owoc,ovocie,płod,płód,плод,овошје,voće,воће,sadje,садавіна,фрукт,овоцина,фрукт
seed,сѣмѧ,semeno,nasienie,semeno,semje,symjo,семе,семе,seme,семе,seme,насеньне,семя,насїня,насіння
leaf,листъ,list,liść,list,list,lisćo,лист,лист,list,лист,list,ліст,лист,лист,лист
root,корєнь,kořen,korzeń,koreň,kórjeń,korjeń,корен,корен,koren,корен,koren,корань,корень,корїнь,корінь
bark,кора,kůra,kora,kôra,škóra,skora,кора,кора,kora,кора,skorja,кара,кора,кора,кора
flower,цвѣтъ,květ,kwiat,kvet,kwětk,kwětka,цвете,цвет,cvet,цвет,cvet,кветка,цветок,квiтка,квітка
grass,трава,tráva,trawa,tráva,tšawa,trawa,трева,трева,trava,трава,trava,трава,трава,трава,трава
rope,вервь,lano,sznur,lano,powrjoz,powjaz,въже,јаже,uže,уже,vrv,вяроўка,верёвка,шпарґа,шнур
skin,кожа,kůže,skóra,koža,kóža,koža,кожа,кожа,koža,кожа,koža,скура,кожа,скора,шкіра
meat,мѧсо,maso,mięso,mäso,měso,mjaso,месо,месо,meso,месо,meso,мяса,мясо,мясо,мясо
blood,крꙑ,krev,krew,krv,kšej,krej,кръв,крв,krv,крв,kri,кроў,кровь,кров,кров
bone,кость,kost,kość,kosť,kósć,kósć,кост,коска,kost,кост,kost,костка,кость,кість,кість
fat,тоукъ,tuk,tłuszcz,sadlo,tucne,tuk,мазнина,маст,debljina,дебљина,maščoba,тлушч,жир,жыр,жир
egg,аицє,vejce,jajko,vajce,jajo,jejo,яйце,јајце,jaje,јаје,jajce,яйка,яйцо,яйце,яйце
horn,рогъ,roh,róg,roh,rog,róh,рог,рог,rog,рог,rog,рог,рог,ріг,ріг
tail,опашъ,ocas,ogon,chvost,wogon,wopuš,опашка,опашка,rep,реп,rep,хвост,хвост,хвіст,хвіст
feather,перїе,pero,pióro,pero,pjero,pjerjo,перо,перо,pero,перо,pero,пяро,перо,перо,перо
hair,власъ,vlasy,włosy,vlasy,włose,włosy,коса,коса,kosa,коса,lasje,валасы,волосы,волося,волосся
head,глава,hlava,głowa,hlava,głowa,hłowa,глава,глава,glava,глава,glava,галава,голова,голова,голова
